[000:00:06;271] OO
[000:06:58;047] KAWASHIMA SHOULD FEEL VERY
[000:06:59;148] SAFE. HE SAYS HE PAID HIS
[000:07:01;383] AGENCY 4 THOUSAND DOLLARS TO
[000:07:02;618] PLACE HIM; 2 THOUSAND DOLLARS
[000:07:03;786] FOR A ONE-WAY PLANE TICKET
[000:07:06;321] HERE; 1950 DOLLARS FOR THE
[000:07:07;656] 10-WEEK TUITION AND 800 A MONTH
[000:07:08;924] FOR A ROOM DOWNTOWN.
[000:07:11;860] TO PROTECT STUDENTS AND
[000:07:13;061] TOURISTS, THE JAPANESE
[000:07:14;463] GOVERNMENT PUT OUT THESE GUIDES
[000:07:16;865] LISTING KEY PHRASES IN AMERICA
[000:07:19;167] ...WORDS LIKE "FURIZU"...
[000:07:20;368] "DAA-KU"..AND "GEDDEAUN."
[000:07:26;207] MIGHT GO HOME...IT'S NOT THAT
[000:07:27;142] HE'S SCARED...BUT AT THESE
[000:07:28;143] PRICES, HE CAN'T AFFORD TO
[000:07:28;877] STAY.
[000:07:29;845] IN SAN FRANCISCO, WH, CHANNEL
[000:07:33;949] THERE ARE DOZENS OF
[000:07:37;185] COMPETING HOMESTAY-LANGUAGE
[000:07:38;119] PROGRAMS HERE IN THE BAY
[000:07:39;087] AREA... PRICES RANGE FROM 825
[000:07:41;056] TO 2700 DOLLARS FOR A TWO-WEEK
[000:07:41;857] STAY.
[000:07:44;460] THE JAPANESE CONSUL SAYS HE
[000:07:46;728] HAS NO WAY TO MONITOR THESE
[000:07:47;930] BUSINESSES IN THE BAY AREA.
[000:07:50;432] RADIO CONTACT WITH THE
[000:07:52;701] SPACECRAFT.
[000:07:53;769] THE "OBSERVER" WAS SCHEDULED
[000:07:55;504] TO ENTER MARS ORBIT THIS
[000:07:56;472] AFTERNOON, ONE YEAR AFTER ITS
[000:07:59;407] LOST SATURDAY.. AND ENGINEERS
[000:08:01;343] HAVE BEEN WORKING ROUND THE
[000:08:02;377] CLOCK TO RESTORE CONTACT.
[000:08:04;112] SO AT THIS POINT, THEY DON'T
[000:08:05;581] STILL DON'T KNOW WHETHER THE
[000:08:06;381] OBSERVER IS ORBITING THE RED
[000:08:07;148] PLANET.
[000:08:09;518] "WE HAVE THE VERY BEST PEOPLE
[000:08:10;285] WORKING ON THE PROBLEM. WE HAVE
[000:08:11;920] CONFIDENCE IN THE PEOPLE AND
[000:08:15;791] RESOLVE THIS PROBLEM. WE'RE
[000:08:17;258] GOING TO KEEP TRYING TO
[000:08:18;660] RE-ESTABLISH COMMUNICATION AND
[000:08:21;062] TO IMPLEMENT THE MISSION."
[000:08:24;566] IT IS A COSTLY MISSION .. THE
[000:08:26;768] PRICE TAG IS ABOUT ONE- BILLION
[000:08:27;569] DOLLARS.
[000:08:31;672] STUDY GROUND AND WEATHER
[000:08:32;374] CONDITIONS ON MARS.
[000:08:34;709] COMING UP: SNOW IN AUGUST?
[000:08:39;947] THEY INVITED THE CLINTONS TO
[000:08:42;017] SAIL ABOARD THEIR 70-FOOT
[000:08:42;717] YACHT.
[000:08:44;252] ALSO ON BOARD... JACQUELINE
[000:08:45;020] KENNEDY ONASSIS.
[000:08:46;654] THE TWO FAMILIES CRUISED FOR
[000:08:48;123] FOUR HOURS.. AND A PRESS BOAT
[000:08:48;890] TAGGED NOT FAR BEHIND!
[000:08:50;558] THE PRESIDENT SAID THEY HAD A
[000:08:51;359] GREAT TIME.
[000:08:55;430] DO MEN AND WOMEN LIE?
[000:08:56;898] OF COURSE THEY DO! BUT WHAT DO
[000:08:59;067] THEY LIE ABOUT? REAL PEOPLE
[000:09:00;101] ANSWER THE LATEST CHANNEL FIVE
[000:09:00;902] REDBOOK POLL.
[000:09:03;371] AND SENIOR CITIZENS WHO ARE
[000:09:04;506] HELPING THE GIANTS... NOT IN
[000:09:06;674] THE BATTING BOX, WE'LL TELL YOU
[000:09:07;475] WHERE AND HOW.
[000:09:08;309] ByqIN
[000:09:11;479] ACCORDING TO THE LATEST
[000:09:12;280] CHANNEL-5/REDBOOK MAGAZINE
[000:09:13;948] POLL, HE'S PROBABLY JUST
[000:09:15;383] STRETCHING THE TRUTH.
[000:09:16;017] THE SURVEY ASKED 8-HUNDRED MEN
[000:09:17;585] AND WOMEN WHAT THEY LIE ABOUT.
[000:09:19;387] 38-PERCENT OF MEN SAY THEY'D
[000:09:20;188] TELL THEIR SIGNIFICANT OTHER
[000:09:22;223] THAT SHE LOOKS GREAT, WHEN SHE
[000:09:23;024] DOESN'T.
[000:09:24;159] JUST 25-PERCENT OF THE WOMEN
[000:09:25;293] SAY THEY'D DO THE SAME THING.
[000:09:27;828] WHAT DO WOMEN TEND TO FIB
[000:09:28;563] ABOUT?
[000:09:29;497] MORE OFN THAN NOT, IT'S
[000:09:31;999] CLOSE TO HALF OF THE FEMALES
[000:09:34;902] SURVEYED SAY THEY'D LIE ABOUT
[000:09:35;670] THEIR WEIGHT.
[000:09:37;338] MEN, ON THE OTHER HAND, ARE
[000:09:38;706] TWICE AS LIKELY TO LIE ABOUT
[000:09:39;607] HOW MUCH MONEY THEY MAKE THAN
[000:09:40;375] WOMEN.
[000:09:44;946] PENNANT FEVER
[000:09:46;781] ñçD/]ñ<ñç
[000:09:48;515] CONTACT WITH THE MARS OBSERVER.
[000:09:50;585] IT'S THE ULTIMATE POWER CRUISE
[000:09:52;152] AS THE CLINTONS SET SAIL WITH
[000:09:55;957] AND "EYE ON AMERICA."
[000:09:57;524] TONIGHT, SINGLE WITH CHILDREN:
[000:09:59;594] THE DEBATE OVER FORCING WELFARE
[000:10:01;261] MOTHERS TO WORK.
[000:10:03;831] THIS IS THE "CBS EVENING NEWS"
[000:10:06;467] WITH DAN RATHER
[000:10:12;239] >> GOOD EVENING.
[000:10:13;107] DAN HAS THE NIGHT OFF.
[000:10:14;341] THIS WAS SUPPOSED TO BE A NIGHT
[000:10:15;977] OF TRIUMPH FOR THE U.S. SPACE
[000:10:17;211] PROGRAM: THE FIRST U.S.
[000:10:18;879] SPACECRAFT TO EXPLORE MARS IN 17
[000:10:20;715] YEARS SHOULD BE IN ORBIT AROUND
[000:10:22;449] THE RED PLANET TONIGHT.
[000:10:24;752] INSTEAD, NASA IS FACING THE
[000:10:28;022] AND EMBARRASSING FAILURE.
[000:10:30;224] CORRESPONDENT JIM STEWART IS
[000:10:31;558] TRACKING THE LATEST IN THE
[000:10:32;693] MARTIAN CHRONICLES.
[000:10:35;863] >> IT WAS THE MOST AMBITIOUS
[000:10:37;297] SPACE PROBE EVER DIRECTED TO
[000:10:38;432] MARS.
[000:10:39;533] >> ...2, 1, AND LIFTOFF!
[000:10:44;571] MARS OBSERVER AND AMERICA'S
[000:10:46;674] RETURN TO THE RED PLANET!
[000:10:51;345] >> BUT LATE THIS AFTERNOON, NASA
[000:10:52;146] SAID IT HAD DONE ALL IT COULD DO
[000:10:53;047] TO ESTABLISH CONTACT WITH THE
[000:10:55;482] $7 BILLION SPACE PROBE.
[000:10:56;350] THE FAILURE LEADS SCIENTISTS TO
[000:10:57;852] BELIEVE THAT THE COMPUTER WILL
[000:11:04;291] BUT TODAY IT HAD TO ANSWER THE
[000:11:06;894] MOST OF EMBARRASSING QUESTIONS.
[000:11:09;829] >> ARE YOU CONFIDENT THAT THE
[000:11:10;830] SPACECRAFT EXISTS?
[000:11:13;233] >> I'M CONFIDENT THAT THE
[000:11:14;268] SPACECRAFT EXISTS.
[000:11:17;271] THE RIGHT ORIENTATION, AND WILL
[000:11:18;539] THOSE ENGINES PERFORM THE RIGHT
[000:11:20;006] CHANGE OF SPEED?
[000:11:21;175] >> TRANSLATION: THEY THINK IT'S
[000:11:22;442] STILL UP THERE, ONLY IT'S NOT
[000:11:23;810] TALKING OR TAKING MESSAGES,
[000:11:26;446] MEANING THERE'S NO WAY OF
[000:11:27;614] KNOWING WHETHER THE PROBE WILL
[000:11:28;815] REVERSE-THRUST ITS ENGINES LIKE
[000:11:30;484] IT WAS SUPPOSED TO TODAY AND
[000:11:33;320] MARS.
[000:11:34;588] IF IT DOESN'T?
[000:11:35;789] THEN CHANCES ARE, IT'S LOST IN
[000:11:37;090] SPACE.
[000:11:38;625] >> IF THEY LOSE THIS MISSION,
[000:11:39;793] IT'S A DEVASTATING SETBACK.
[000:11:41;328] AT THE VERY LEAST, THEY WOULD
[000:11:42;362] HAVE A HARD TIME EXPLAINING TO
[000:11:44;030] CONGRESS HOW THEY MONITOR
[000:11:45;365] QUALITY CONTROL AMONG THEIR
[000:11:46;633] SUBCONTRACTORS, AND I THINK IT
[000:11:49;203] MORE MONEY FOR BIG PROJECTS WHEN
[000:11:50;470] SO MANY SPACECRAFT WHICH COST SO
[000:11:51;738] MUCH MONEY KEEP HAVING SO MANY
[000:11:53;039] PROBLEMS.
[000:11:54;140] >> IT HAS BEEN A ROUGH MONTH FOR
[000:11:55;342] AMERICA'S SPACE PROGRAM: FIRST A
[000:11:56;710] BILLION-DOLLAR SPY SATELLITE
[000:11:58;078] BLEW UP, THEN A WEATHER
[000:11:59;713] SATELLITE BUILT TO TRACK STORMS
[000:12:01;248] AND FLOODS WENT INTO ORBIT OKAY,
[000:12:03;217] BUT THIS WEEK DEVELOPED A FATAL
[000:12:06;086] SOME WONDER IF NASA IS
[000:12:07;153] OVERREACHING.
[000:12:08;154] >> I DON'T BELIEVE WE'RE GETTING
[000:12:09;223] BEYOND OUR TECHNOLOGICAL
[000:12:10;624] CAPABILITY.
[000:12:13;360] WE HAVE ESTABLISHED SOME VERY
[000:12:15;362] TOUGH GOALS FOR OURSELVES IN THE
[000:12:16;930] SPACE PROGRAM.
[000:12:22;168] ANYBODY COULD MEET THEM.
[000:12:23;870] >> REACHING MARS WAS A TOUGH
[000:12:25;071] GOAL AND A VERY TOUGH
[000:12:26;640] DISAPPOINTMENT FOR NASA.
[000:12:28;007] THIS WAS THE MISSION THAT WOULD
[000:12:29;343] HAVE MEASURED THE RED PLANET AND
[000:12:30;577] TESTED ITS ATMOSPHERE WITH THE
[000:12:32;246] GOAL OF MAPPING THE WAY FOR MAN
[000:12:33;980] HIMSELF TO SOMEDAY VISIT MARS.
[000:12:35;881] JIM STEWART, CBS NEWS,
[000:12:38;784] >> THE PENTAGON CONFIRMED TODAY
[000:12:40;453] THAT 400 ARMY RANGERS ARE GOING
[000:12:42;388] TO SOMALIA TO BEEF UP U.S.
[000:12:44;022] FORCES THERE, BUT A SPOKESWOMAN
[000:12:45;691] SAID IT'S NOT A CHANGE IN U.S.
[000:12:47;826] POLICY.
[000:12:51;697] CONSIDER FUTURE FOREIGN AND
[000:12:53;065] DOMESTIC POLICY, BUT AS
[000:12:54;467] CORRESPONDENT ERIC ENGBERG
[000:12:55;735] REPORTS, MR. CLINTON ALSO TOOK
[000:12:57;303] TIME OUT TODAY TO BASK IN THE
[000:13:01;039] KENNEDY YEARS.
[000:13:03;876] >> FOR AN UNABASHED WORSHIPER OF
[000:13:05;177] THE J.F.K. MYSTIQUE LIKE
[000:13:06;845] PRESIDENT CLINTON, TODAY'S TRIP
[000:13:08;981] OF THE YACHT "RELEMAR" MUST HAVE
[000:13:10;849] SEEMED LIKE A HAPPY, POLITICALLY
[000:13:12;618] USEFUL, VOYAGE BACKWARD TO
[000:13:14;320] CAMELOT.
[000:13:15;655] THERE WAS THE GLAMOUR OF THE
[000:13:18;758] HOSTESS JACQUELINE ONASSIS AND
[000:13:20;326] DAUGHTER CAROLINE SHARED A
[000:13:21;193] PRIVATE MOMENT WHILE AWAITING
[000:13:22;561] THE FIRST FAMILY.
[000:13:23;629] SENATOR TED KENNEDY EXTENDED A
[000:13:24;863] HEARTY WELCOME, AND THEY
[000:13:26;365] SOCIALIZED ON THE BRIDGE BEFORE
[000:13:27;500] SETTING OFF.
[000:13:29;368] THERE WAS THE BEAUTY OF THE
[000:13:30;569] MASSACHUSETTS COASTLINE, WHICH
[000:13:31;771] EVOKED MEMORIES OF ANOTHER
[000:13:34;473] OWN BOATS, AND THERE WAS THE
[000:13:36;575] ELEGANCE OF A BEAUTIFUL YACHT
[000:13:37;910] SLICING THROUGH THE WAVES IN
[000:13:39;445] PERFECT WEATHER.
[000:13:40;579] IT WAS A LONG WAY FROM
[000:13:41;880] LITTLE ROCK.
[000:13:43;549] AFTER SIX DAYS OF VINEYARD
[000:13:44;983] VACATION, THE PRESIDENT HAS
[000:13:46;118] FOOLED CLINTON-WATCHERS BY DOING
[000:13:47;520] NO GOVERNMENT BUSINESS, AND NOT
[000:13:51;857] SCHOLARS SAY PRESIDENTS NEED TO
[000:13:53;125] ESCAPE THE TYRANNY OF THEIR
[000:13:55;060] SCHEDULES, EVEN IF THEY DON'T
[000:13:56;829] KNOW IT.
[000:13:58;964] >> HIS YOUTH AND HIS VIGOR AND
[000:14:00;966] THE FACT THAT HE'S NEW AT IT--
[000:14:02;467] I'M SURE THAT HE ENJOYS A LOT OF
[000:14:04;002] THAT PACE AND BEING WHISKED FROM
[000:14:07;172] TAKES A TOLL, TOO.
[000:14:09;541] I REJOICE TO SEE HIM RELAX HERE.
[000:14:14;379] >> THE FIRST VACATIONER'S CHILL-
[000:14:15;780] OUT HAS MANIFESTED ITSELF IN A
[000:14:17;415] WARDROBE THAT HAS RANGED FROM
[000:14:19;284] GOLF COURSE GARISH TO BOUTIQUE-
[000:14:23;555] JOGGING TOGS TO JEANS AND COWBOY
[000:14:24;890] BOOTS.
[000:14:27;092] HE'S SO INTENT ON RELAXATION
[000:14:28;693] THAT HE'S BARELY MINGLED WITH
[000:14:30;128] EVERYDAY VOTERS, WADING INTO
[000:14:31;629] CROWDS ONLY THREE TIMES SINCE HE
[000:14:33;198] GOT HERE, PARTYING WITH THE
[000:14:34;699] ISLAND'S ELITE ESTABLISHMENT.
[000:14:39;304] CLINTON IS TRYING TO GIVE HIS
[000:14:40;672] BRAIN A REST.
[000:14:41;673] LOOK AT WHERE HE'S BEEN AND
[000:14:43;075] WHERE HE WANTS TO GO.
[000:14:44;709] THERE ARE SO MANY POLITICAL
[000:14:46;311] GOALS HE'S SET FOR HIMSELF THAT
[000:14:48;113] THIS MAY BE THE LAST VACATION HE
[000:14:49;882] TAKES FOR A LONG TIME.
[000:14:56;855] >> STRAIGHT AHEAD ON TONIGHT'S
[000:14:58;190] "C
[000:14:59;258] ATTORNEY FILED CHARGES AGAINST
[000:15:00;058] HIM.
[000:15:00;625] POLICE SAY WHEN KING WAS
[000:15:02;761] ARRESTED SATURDAY HIS BLOOD
[000:15:03;495] ALCOHOL LEVEL WAS TWICE THE
[000:15:04;229] LEGAL LIMIT.
[000:15:05;898] THIS IS RODNEY KING'S THIRD
[000:15:08;066] ARREST SINCE HE WAS BEATEN BY
[000:15:08;833] L.A. POLICE OFFICERS.
[000:15:11;870] TONIGHT, WORK CREWS ARE ON THE
[000:15:13;371] SCENE OF A TOXIC MESS IN
[000:15:14;071] WASHINGTON.
[000:15:15;339] L ÑV:h,.
[000:15:17;442] BUT JUST ONE SET OF LEGS.. AND
[000:15:18;309] ONE TAIL.
[000:15:20;478] IT'S ON DISPLAY AT THE EAST
[000:15:21;245] BAY VIVARIUM IN BERKELEY.
[000:15:23;415] ANIMAL EXPERTS TELL US THE
[000:15:24;849] TURTLE WAS BRED BACK EAST.. AND
[000:15:28;453] COMPLETE ACCIDENT.
[000:15:30;688] EXPERTS SAY THAT THIS KIND OF
[000:15:31;489] GENETIC MUTATION IS EXTREMELY
[000:15:32;256] RARE.
[000:15:44;469] THAT MAY HAVE TRIGGERED THE
[000:15:45;503] CRIMINAL INVESTIGATION OF POP
[000:15:47;439] SUPERSTAR MICHAEL JACKSON.
[000:15:50;475] AS A "RELIABLE" SOURCE, WITH
[000:15:52;544] ACCESS TO LOS ANGELES POLICE
[000:15:53;678] DEPARTMENT FILES, A 13-YEAR-OLD
[000:15:55;747] BOY SAYS JACKSON ABUSED HIM,
[000:15:56;514] SEXUALLY.
[000:15:57;916] BUT AS JIM MORET REPORTS,
[000:16:00;452] MICHAEL JACKSON INSISTS HE'S
[000:16:01;586] NOT A CRIMINAL-- HE'S THE
[000:16:02;286] VICTIM.
[000:16:06;023] A 13-YEAR-OLD BOY'S CLAIM THAT
[000:16:08;726] HE WAS SEXUALLY ABUSED LED TO
[000:16:09;961] THE CRIMINAL PROBE OF MICHAEL
[000:16:11;228] JACKSON AND POLICE SEARCHING
[000:16:13;765] THE ENTERTAINER'S HOME SEIZED
[000:16:15;032] VIDEOTAPES AND PHOTOGRAPHS, A
[000:16:17;401] SOURCE SAID TUESDAY.
[000:16:18;736] ADDITIONALLY, THE POLICE
[000:16:21;339] DEPARTMENT'S SPECIAL SEXUALLY
[000:16:22;941] EXPLOITED CHILD UNIT WAS
[000:16:23;808] LEADING THE INVESTIGATION,
[000:16:26;310] KNBC-TV REPORTED, AS MORE
[000:16:28;913] DETAILS BEGAN SURFACING IN THE
[000:16:31;449] JACKSON CASE. POLICE WILL ONLY
[000:16:32;517] CONFIRM A CRIMINAL
[000:16:33;951] INVESTIGATION BEGAN AUG. 17,
[000:16:36;487] BUT THERE WERE NO DETAILS. "WE
[000:16:37;721] DO NOT WANT TO FEED ANY WILD
[000:16:40;257] SPECULATION ON THIS MATTER,"
[000:16:41;558] POLICE CMDR. DAVID GASCON SAID.
[000:16:43;995] "I'M NOT GOING TO HAVE ANY
[000:16:46;597] COMMENT ON THE MICHAEL JACKSON
[000:16:47;798] INVESTIGATION," POLICE CHIEF
[000:16:49;133] WILLIE WILLIAMS SAID TUESDAY. A
[000:16:51;702] RELIABLE SOURCE WHO HAS SEEN
[000:16:54;905] IN THE CASE TOLD THE ASSOCIATED
[000:16:55;873] PRESS THAT THE 13-YEAR-OLD SON
[000:16:57;908] OF A BEVERLY HILLS DENTIST TOLD
